sampleId,read1
TGBS21,ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Chane/SAMEA3302784/alignment/SAMEA3302784.alt_bwamem_GRCh38DH.20200922.Chane.simons.cram
HGDP01014,ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Karitiana/HGDP01014/alignment/HGDP01014.alt_bwamem_GRCh38DH.20181023.Karitiana.cram
HGDP01019,ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Karitiana/HGDP01019/alignment/HGDP01019.alt_bwamem_GRCh38DH.20181023.Karitiana.cram
HGDP01010,ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Karitiana/HGDP01010/alignment/HGDP01010.alt_bwamem_GRCh38DH.20181023.Karitiana.cram
HGDP01009,ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Karitiana/HGDP01009/alignment/HGDP01009.alt_bwamem_GRCh38DH.20181023.Karitiana.cram
HGDP00995,ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Karitiana/HGDP00995/alignment/HGDP00995.alt_bwamem_GRCh38DH.20181023.Karitiana.cram
HGDP01001,ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Karitiana/HGDP01001/alignment/HGDP01001.alt_bwamem_GRCh38DH.20181023.Karitiana.cram
HGDP01006,ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Karitiana/HGDP01006/alignment/HGDP01006.alt_bwamem_GRCh38DH.20181023.Karitiana.cram
HGDP01013,ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Karitiana/HGDP01013/alignment/HGDP01013.alt_bwamem_GRCh38DH.20181023.Karitiana.cram
HGDP00999,ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Karitiana/HGDP00999/alignment/HGDP00999.alt_bwamem_GRCh38DH.20181023.Karitiana.cram
HGDP00838,ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Surui/HGDP00838/alignment/HGDP00838.alt_bwamem_GRCh38DH.20181023.Surui.cram
HGDP00845,ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Surui/HGDP00845/alignment/HGDP00845.alt_bwamem_GRCh38DH.20181023.Surui.cram
HGDP00849,ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Surui/HGDP00849/alignment/HGDP00849.alt_bwamem_GRCh38DH.20181023.Surui.cram
HGDP00832,ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Surui/HGDP00832/alignment/HGDP00832.alt_bwamem_GRCh38DH.20181023.Surui.cram
HGDP00837,ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Surui/HGDP00837/alignment/HGDP00837.alt_bwamem_GRCh38DH.20181023.Surui.cram
HGDP00843,ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Surui/HGDP00843/alignment/HGDP00843.alt_bwamem_GRCh38DH.20181023.Surui.cram
HGDP01015,ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Karitiana/SAMEA3302902/alignment/SAMEA3302902.alt_bwamem_GRCh38DH.20200922.Karitiana.simons.cram
HGDP01018,ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Karitiana/SAMEA3302662/alignment/SAMEA3302662.alt_bwamem_GRCh38DH.20200922.Karitiana.simons.cram
HGDP01012,ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Karitiana/SAMEA3302790/alignment/SAMEA3302790.alt_bwamem_GRCh38DH.20200922.Karitiana.simons.cram
HGDP00852,ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Surui/SAMEA3302830/alignment/SAMEA3302830.alt_bwamem_GRCh38DH.20200922.Surui.simons.cram
